"","Year","2.5%","mean","97.5%","se_mean","n_eff","Rhat"
"mu[50]",1697,302988.986359774,377689.336593452,443635.205380915,638.75318134261,3066.37222732153,1.00678581322095
"mu[51]",1698,302547.449344288,376938.575457582,442135.02001009,631.861205529127,3086.01560389552,1.00675252842739
"mu[52]",1699,312238.994496792,385425.666934799,450262.743647209,624.161088402078,3085.92764238022,1.00674982889596
"mu[53]",1700,317746.950797543,389667.752478989,453862.700579877,614.54932523518,3099.93782555268,1.00674998836185
"mu[54]",1701,323517.748513188,394223.105355688,457924.066395194,605.138764753823,3107.6793448574,1.00674117455364
"mu[55]",1702,327416.841947755,396968.678718282,460083.298199085,595.472193272016,3121.13962030639,1.00671006514179
"mu[56]",1703,329783.944979228,398179.76429711,460484.066116041,584.794908095332,3141.29949800609,1.00668166793535
"mu[57]",1704,328500.791053694,396047.147503132,457335.666398138,572.831052598236,3163.8036098242,1.0066336105668
"mu[58]",1705,329285.021699859,395454.628299996,455628.823409269,560.244183869419,3188.49859487176,1.00655708922443
"mu[59]",1706,332172.161794837,397065.928876117,456456.123455372,549.472141453545,3206.36414466098,1.00650207677535
"mu[60]",1707,331287.173800699,395032.034102478,453225.213748888,535.965336554091,3235.21303632759,1.00642146709076
"mu[61]",1708,334715.079224674,396989.692549549,454356.333427847,524.121587414489,3259.43927840028,1.0063445325628
"mu[62]",1709,326618.710469727,388018.444573245,443499.71459339,507.012477028253,3317.3929176306,1.00621060388089
"mu[63]",1710,316444.926091632,377144.534626991,430469.531108755,488.872267585858,3406.37333745756,1.00607916438459
"mu[64]",1711,319224.431029362,378722.868387898,431180.758609702,478.315689332772,3440.24704345352,1.00602769455475
"mu[65]",1712,324510.220185853,382610.891809327,434419.823778672,467.868404557222,3468.60042867375,1.00595564195671
"mu[66]",1713,327966.076572089,384845.619927505,436195.211411991,458.74949947505,3499.43037398872,1.00590566513692
"mu[67]",1714,327437.42295718,383585.922664443,434098.661407573,449.218307507283,3538.37754005389,1.00582526045116
"mu[68]",1715,327701.41247093,382811.418147642,432443.754446398,440.02887698177,3577.6749961227,1.00575130894146
"mu[69]",1716,325519.48451318,379974.591075782,428628.517813762,429.714305843949,3629.95795334507,1.00566870462302
"mu[70]",1717,322814.069148845,376490.418666064,424165.225921688,418.506181590464,3695.67531865897,1.00555836422342
"mu[71]",1718,324177.429862933,376983.747480504,423901.255085042,409.631968505006,3737.75934787108,1.00549306360608
"mu[72]",1719,325382.284287814,377269.728308143,423447.446690938,401.231693665243,3776.65050838812,1.00541634795687
"mu[73]",1720,327255.046761384,378173.497738191,423575.865907566,392.218429746223,3817.07846091456,1.00533209764622
"mu[74]",1721,332947.618709336,382792.97011304,427543.799981893,384.603027519048,3826.02184474794,1.00529563982675
"mu[75]",1722,336711.391736141,385148.910070465,428727.812123365,372.18546613549,3875.62989213586,1.00519900351318
"mu[76]",1723,344374.712263538,391178.127254494,433846.232602233,360.649568650619,3900.44204615119,1.00518046977395
"mu[77]",1724,352722.31946645,397921.706947302,439680.956520931,348.886272109816,3927.39871740441,1.00509826235794
"mu[78]",1725,360660.828964334,404237.438145151,444952.087139755,337.32365331985,3956.95177595785,1.00503525711697
"mu[79]",1726,367765.520606859,409785.158613188,449407.083936338,325.101584735825,3994.26357670047,1.00495298203069
"mu[80]",1727,376836.870130473,417156.393602098,455787.58236718,313.345935261966,4020.78158328425,1.00487411854743
"mu[81]",1728,386893.896981487,425411.659415172,463190.621218644,301.851402927864,4051.25005361046,1.00475960774091
"mu[82]",1729,395950.322221914,432741.744874192,469249.81665304,288.236401311228,4100.94466511393,1.00464946919656
"mu[83]",1730,404935.8728658,439914.229969392,475230.487820441,275.084494197666,4153.05707012602,1.00456648961229
"mu[84]",1731,414632.020601985,447907.661685914,482013.548097952,262.590453406809,4203.91750923074,1.00443818545661
"mu[85]",1732,421348.716650052,453119.514370999,485995.426883859,249.241201153689,4277.59871478366,1.00430276040238
"mu[86]",1733,429647.563429821,459946.093245533,491744.281546583,236.827035268504,4355.92033348223,1.00413616583692
"mu[87]",1734,439872.87335039,468553.397722184,499239.561317836,224.922549532458,4425.50138267737,1.00399836461573
"mu[88]",1735,449762.374993836,477001.617830165,506578.720123249,213.193648512321,4500.46343711705,1.0038204746044
"mu[89]",1736,460859.317740753,486430.748479932,514912.546554059,200.366745758597,4607.41510888943,1.00361230418097
"mu[90]",1737,466074.645916985,489672.661405225,515870.889549861,181.5449701128,4776.52128539073,1.00341864559582
"mu[91]",1738,474411.891346038,496229.72919,520710.266847134,165.825164382624,4947.89460412182,1.00321294282628
"mu[92]",1739,480064.962469916,499968.451834066,522288.109212949,147.909038225588,5170.33813690475,1.00297643419767
"mu[93]",1740,475991.879987462,493329.206272209,511996.433979603,119.92091155851,5721.12053954766,1.00270075925466
"mu[94]",1741,478213.616765367,494019.855549662,510894.840203984,105.286950370964,6090.19610091805,1.0025214899727
"mu[95]",1742,465346.831205538,479155.657392838,493108.468327596,81.2467650355366,7363.69012313273,1.00219305602982
"mu[96]",1743,462166.255720681,474700.979708934,486924.282634288,65.4112695283368,9032.65434629558,1.00183196812316
"mu[97]",1744,471047.104976646,482315.206474105,493295.253729501,56.4074897303568,9840.09033174737,1.00164599560796
"mu[98]",1745,482695.630391896,492686.812955704,502423.035099975,48.0183876191988,10662.5698793779,1.00145362548746
"mu[99]",1746,495332.398683769,504133.695420293,512664.935119122,41.0449445653139,11256.6162801199,1.00121478641985
"mu[100]",1747,505317.616789191,512914.058226481,520068.242857523,33.3465010505968,12383.7574853872,1.00106691306714
"mu[101]",1748,511608.011282345,517919.06047232,523422.307733028,24.348450459744,14753.7152106326,1.00083102537991
"mu[102]",1749,519945.187273494,525239.150165402,529155.921945406,18.382003958299,14789.7418705498,1.00081143475815
"mu[103]",1750,529210.010466087,534184.369068931,538157.249595875,19.0699546940475,13963.4136477069,1.00075104961595
"mu[104]",1751,540416.23855231,545051.115110466,548268.829413728,21.4240004178247,9037.22320869188,1.00153074803004
"mu[105]",1752,550553.777288555,554745.874695767,558735.251114651,10.0511456488232,41621.0516643837,1.0001946673804
"mu[106]",1753,561173.03012655,565155.884034543,569266.328143273,9.2219692986687,48711.7414883422,1.00016825291272
"mu[107]",1754,568844.311065277,571998.680107559,576303.162736214,19.497497634794,9904.92065742055,1.0016118237407
"mu[108]",1755,577409.638720637,581593.25294407,586180.443808251,18.7737825311593,13907.9970021022,1.00108496568928
"mu[109]",1756,584040.437481897,588180.585444871,592816.478536021,17.8417305295473,15477.5975029447,1.00096199713541
"mu[110]",1757,592594.853119518,595912.604872774,600349.143798595,17.0450496572327,12816.3995486766,1.00107313860079
"mu[111]",1758,599262.68904308,603453.131735744,608216.336822351,19.4100139558593,13587.8276503887,1.00107456260068
"mu[112]",1759,607615.127572917,611904.664469554,616740.261553223,21.7412115110431,11292.7916117454,1.00133325955549
"mu[113]",1760,619401.64271611,622660.798573476,627416.397333553,24.714303586336,7239.30444055255,1.00220842980037
"mu[114]",1761,630128.924194637,634290.474013866,638770.798843916,15.0856335058767,20684.3751188457,1.00056158627209
"mu[115]",1762,639030.38475193,643052.788433419,647220.266989168,7.75980691558015,70429.5444424974,1.00005597377599
"mu[116]",1763,642256.112987162,646000.459553303,649303.458250932,10.1816074087656,29016.0358116609,1.00055255640297
"mu[117]",1764,650905.244689975,655111.783478747,659254.547514373,12.2261011347594,29591.764537085,1.00045990048554
"mu[118]",1765,658295.944390328,662563.118829333,666770.799192427,14.2409685416086,22499.1329479716,1.00066207200942
"mu[119]",1766,667429.880822051,671475.99025947,674683.902010813,16.0592552901618,13192.4942840074,1.00121571745702
"mu[120]",1767,674861.914895143,679052.750705406,683192.745205816,10.8184405627413,37672.8223145116,1.00033044353869
"mu[121]",1768,686599.209651804,690670.034509349,694767.687953174,6.69958013145846,93971.3785879315,1.00008879182109
"mu[122]",1769,697592.302809053,700907.198806649,704634.50861595,8.04210567304284,45563.617373034,1.00043640097102
"mu[123]",1770,704610.447614045,708738.28108486,712976.780312614,7.32929702609393,81664.0463786031,1.00017111821349
"mu[124]",1771,715377.95150672,719526.972052566,723736.073622648,7.06539405796981,88152.1588871862,1.00007958347641
"mu[125]",1772,727331.279767969,730956.366054969,734491.252571666,6.73455651394847,65610.7912426869,1.00005314784977
"mu[126]",1773,738918.363930452,743150.762524053,747380.631891392,6.99341233226651,92264.0380199042,1.00003249221992
"mu[127]",1774,754693.750171471,759017.90794669,763306.115575132,7.26648186804726,88656.5856030972,1.00011841233915
"mu[128]",1775,768439.468337189,772161.138522455,776017.978684039,7.57085357295107,58419.677222119,1.00025331910806
"mu[129]",1776,776038.565933089,780774.377404104,785461.403910669,8.77809033587786,72813.5572821865,1.00015818341485
